nm top,QE top,nm middle,QE middle,nm bottom,QE bottom
448.94,0.74548,621.06,0.067713,914.54,0.79871
449.2,0.74592,621.32,0.068468,914.79,0.79979
449.47,0.74639,621.58,0.069223,915.03,0.80083
449.73,0.74683,621.83,0.069949,915.28,0.80191
449.99,0.74727,622.09,0.070704,915.52,0.80294
450.25,0.74772,622.34,0.071429,915.77,0.80403
450.51,0.74816,622.6,0.072184,916.01,0.80506
450.78,0.74862,622.86,0.072939,916.26,0.80614
451.04,0.74907,623.11,0.073665,916.5,0.80718
451.3,0.74951,623.37,0.07442,916.75,0.80826
451.56,0.74996,623.63,0.075175,916.99,0.8093
451.82,0.7504,623.88,0.075901,917.24,0.81038
452.09,0.75086,624.14,0.076656,917.48,0.81142
452.35,0.75131,624.39,0.077382,917.73,0.8125
452.61,0.75175,624.65,0.078137,917.97,0.81354
452.87,0.7522,624.91,0.078892,918.22,0.81462
453.13,0.75264,625.16,0.079618,918.46,0.81565
453.39,0.75308,625.42,0.080373,918.71,0.81673
453.66,0.75355,625.68,0.081127,918.95,0.81777
453.92,0.75399,625.93,0.081853,919.2,0.81885
454.18,0.75443,626.19,0.082608,919.44,0.81989
454.44,0.75488,626.44,0.083334,919.69,0.82097
454.7,0.75532,626.7,0.084089,919.93,0.82201
454.97,0.75578,626.96,0.084844,920.18,0.82309
455.23,0.75623,627.21,0.08557,920.42,0.82372
455.49,0.75667,627.47,0.086325,920.67,0.82409
455.75,0.75712,627.72,0.087051,920.91,0.82444
456.01,0.75756,627.98,0.087806,921.16,0.82481
456.28,0.75802,628.24,0.088561,921.4,0.82516
456.54,0.75847,628.49,0.089287,921.65,0.82553
456.8,0.75891,628.75,0.090062,921.89,0.82588
457.06,0.75936,629,0.09115,922.14,0.82625
457.32,0.7598,629.26,0.092281,922.38,0.82661
457.58,0.76025,629.52,0.093412,922.63,0.82697
457.85,0.76071,629.77,0.094499,922.87,0.82733
458.11,0.76115,630.03,0.09563,923.12,0.8277
458.37,0.7616,630.29,0.096761,923.36,0.82805
458.63,0.76204,630.54,0.097849,923.6,0.8284
458.89,0.76248,630.8,0.09898,923.85,0.82877
459.15,0.76293,631.05,0.10007,924.09,0.82913
459.42,0.76339,631.31,0.1012,924.34,0.82949
459.68,0.76386,631.56,0.10229,924.58,0.82985
459.94,0.76434,631.82,0.10342,924.83,0.83022
460.2,0.76481,632.08,0.10455,925.07,0.83057
460.46,0.76528,632.33,0.10564,925.32,0.83094
