nm,QE
669.35,0.29164
669.6,0.28539
669.86,0.27888
670.11,0.27263
670.36,0.26638
670.62,0.25988
670.87,0.25362
671.13,0.24712
671.38,0.24087
671.64,0.23437
671.89,0.22811
672.15,0.22161
672.4,0.21536
672.66,0.20886
672.91,0.20261
673.16,0.19635
673.42,0.18985
673.67,0.1836
673.93,0.1771
674.18,0.17084
674.44,0.16434
674.69,0.15809
674.95,0.15159
675.2,0.14533
675.45,0.13908
675.71,0.13258
675.96,0.12633
676.22,0.11982
676.47,0.11357
676.73,0.10707
676.98,0.10082
677.23,0.094565
677.49,0.088062
677.74,0.08181
678,0.075308
678.25,0.069055
678.51,0.062553
678.76,0.060626
679.01,0.059382
679.27,0.058089
679.52,0.056845
679.78,0.055552
680.03,0.054308
680.29,0.053014
680.54,0.051771
680.79,0.050527
681.05,0.049233
681.3,0.04799
681.56,0.046696
681.81,0.045453
682.07,0.044159
682.32,0.042915
682.57,0.041672
682.83,0.040378
683.08,0.039134
683.34,0.037841
683.59,0.036597
683.84,0.035354
684.1,0.03406
684.35,0.032816
684.61,0.031523
684.86,0.030279
685.11,0.029035
685.37,0.027742
685.62,0.026498
685.88,0.025205
686.13,0.023961
686.38,0.022717
686.64,0.021424
686.89,0.02018
687.15,0.018887
687.4,0.017643
687.65,0.016399
687.91,0.015106
688.16,0.013862
688.42,0.012569
688.67,0.011325
688.92,0.010081
689.18,0.0087877
689.43,0.0082073
689.69,0.0080054
689.94,0.0078113
690.19,0.0076172
690.45,0.0074153
690.7,0.0072212
690.95,0.0070271
691.21,0.0068252
691.46,0.0066311
691.72,0.0064292
691.97,0.0062351
692.22,0.006041
692.48,0.0058391
692.73,0.005645
692.98,0.0054508
693.24,0.005249
693.49,0.0050548
693.75,0.004853
694,0.0046588
694.25,0.0044647
694.51,0.0042628
694.76,0.0040687
695.01,0.0038746
695.27,0.0036727
695.52,0.0034786
695.78,0.0032767
696.03,0.0030826
696.28,0.0028885
696.54,0.0026866
696.79,0.0024925
697.04,0.0022984
697.3,0.0020965
697.55,0.0019024
697.8,0.0017082
698.06,0.0015064
698.31,0.0013122
698.57,0.0011104
698.82,0.00091624
699.07,0.00072212
699.33,0.00052024
699.58,0.00032612
699.83,0.000132
