wavelength (nm),Xe arc lamp (W*m-2*nm-1)
591.22614,0.72788
591.45544,0.72992
591.68469,0.72932
591.914,0.72656
592.14331,0.72216
592.37262,0.71896
592.60193,0.71524
592.8313,0.71416
593.06061,0.71316
593.28998,0.71292
593.51935,0.71552
593.74878,0.71932
593.97815,0.72304
594.20758,0.72548
594.43701,0.72588
594.66644,0.7232
594.89587,0.72056
595.12537,0.72092
595.3548,0.72352
595.58429,0.72572
595.81378,0.7276
596.04327,0.73088
596.27283,0.73356
596.50232,0.73636
596.73187,0.73892
596.96143,0.741
597.19098,0.74152
597.42059,0.73996
597.65015,0.73828
597.87976,0.73872
598.10938,0.737
598.33899,0.73464
598.56866,0.7296
598.79828,0.7268
599.02795,0.72628
599.25763,0.72732
599.4873,0.72964
599.71698,0.72936
599.94672,0.72596
600.17639,0.72012
600.40613,0.71492
600.63586,0.70844
600.86566,0.70312
601.0954,0.70016
601.3252,0.69784
601.55499,0.69524
